Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,CALC,NObeyesdad,Gender_Female,Gender_Male,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking,TUE_Target,Basal Metabolic Rate,BMI
20.0,1.66,60.0,1,0,3.0,3.0,1,0,2.0,0,1.0,1,1,1,0,0,0,0,0,1,0,1139.988,21.773842357381334
21.0,1.55,50.0,0,1,2.0,3.0,1,0,2.0,0,0.0,1,1,1,0,0,0,0,1,0,0,1039.09,20.811654526534856
21.0,1.61,54.5,1,1,3.0,3.0,1,0,3.0,0,0.0,1,1,1,0,0,0,0,0,1,1,1082.3979999999997,21.025423401874924
20.0,1.5,44.0,0,1,2.0,3.0,1,0,1.0,0,0.0,1,1,1,0,1,0,0,0,0,0,986.1000000000001,19.555555555555557
23.0,1.64,52.0,0,1,3.0,1.0,1,0,2.0,0,2.0,0,1,1,0,0,0,0,1,0,2,1049.0520000000001,19.333729922665082
23.0,1.63,55.0,1,0,3.0,3.0,0,0,2.0,1,2.0,0,1,1,0,0,0,0,1,0,1,1077.834,20.70081674131507
22.0,1.6,55.0,0,0,3.0,4.0,3,0,3.0,0,2.0,0,1,1,0,0,0,0,1,0,0,1082.48,21.484374999999996
23.0,1.68,62.0,0,0,2.0,4.0,2,0,2.0,0,0.0,1,1,0,1,1,0,0,0,0,0,767.4,21.9671201814059
22.0,1.7,70.0,1,1,2.0,3.0,1,0,1.0,0,0.0,1,1,0,1,1,0,0,0,0,1,883.9,24.221453287197235
21.0,1.64,65.0,1,0,2.0,3.0,1,0,1.0,0,0.0,0,1,0,1,0,0,0,1,0,1,821.9000000000001,24.167162403331353
17.0,1.65,67.0,1,1,3.0,1.0,1,0,2.0,0,1.0,0,1,1,0,0,0,0,0,1,1,1221.2699999999998,24.609733700642796
20.0,1.76,55.0,1,1,2.0,4.0,1,0,3.0,0,2.0,0,0,0,1,0,0,0,1,0,2,692.3,17.75568181818182
21.0,1.55,49.0,1,1,2.0,3.0,1,0,3.0,0,3.0,1,1,1,0,0,0,0,1,0,1,1029.49,20.39542143600416
20.0,1.65,58.0,0,1,2.0,3.0,1,0,2.0,0,3.0,1,1,0,1,0,0,0,1,0,1,732.8499999999999,21.30394857667585
22.0,1.67,62.0,0,1,2.0,1.0,0,0,2.0,0,0.0,1,1,0,1,0,0,0,1,0,0,774.15,22.230987127541326
22.0,1.68,55.0,1,1,2.0,3.0,1,0,2.0,0,0.0,1,1,0,1,1,0,0,0,0,2,678.3,19.48696145124717
21.0,1.66,57.0,1,1,2.0,3.0,2,0,1.0,0,1.0,0,1,1,0,0,0,0,1,0,1,1106.4879999999998,20.685150239512268
21.0,1.62,69.0,1,1,1.0,3.0,2,0,2.0,0,0.0,0,2,1,0,0,0,0,1,0,1,1221.616,26.291723822588015
23.0,1.8,90.0,1,1,1.0,3.0,3,0,2.0,0,0.0,2,3,0,1,0,0,0,1,0,2,1151.6,27.777777777777775
23.0,1.65,95.0,1,1,2.0,3.0,3,0,2.0,0,0.0,2,4,0,1,1,0,0,0,0,1,1219.35,34.894398530762174
30.0,1.76,112.0,1,1,1.0,3.0,0,1,2.0,1,0.0,2,5,0,1,1,0,0,0,0,0,1405.1999999999998,36.15702479338843
23.0,1.8,60.0,1,0,2.0,3.0,0,0,3.0,0,0.0,1,1,0,1,0,0,0,1,0,1,740.6,18.51851851851852
23.0,1.65,80.0,1,1,2.0,3.0,3,0,2.0,0,0.0,0,3,1,0,0,0,0,1,0,2,1317.8700000000001,29.384756657483933
22.0,1.67,50.0,1,0,3.0,3.0,0,0,3.0,1,2.0,1,0,1,0,0,0,0,1,0,1,1034.606,17.92821542543655
24.0,1.65,60.0,1,0,2.0,3.0,1,0,3.0,1,1.0,0,1,1,0,0,0,0,1,0,0,1121.17,22.03856749311295
19.0,1.85,65.0,1,0,2.0,3.0,1,0,3.0,0,2.0,1,1,0,1,0,1,0,0,0,1,836.55,18.991964937910883
24.0,1.7,85.0,1,1,2.0,3.0,2,0,3.0,0,0.0,2,3,0,1,0,0,0,1,0,1,1075.8,29.411764705882355
23.0,1.63,45.0,1,0,3.0,3.0,1,0,3.0,1,2.0,0,0,1,0,0,0,0,1,0,0,981.834,16.937031879257784
24.0,1.6,45.0,1,0,2.0,3.0,0,0,2.0,0,1.0,0,0,1,0,0,0,0,1,0,0,977.0800000000002,17.578124999999996
24.0,1.7,80.0,1,1,2.0,3.0,1,0,3.0,0,0.0,0,3,1,0,0,0,0,1,0,0,1313.26,27.68166089965398
23.0,1.65,90.0,1,1,2.0,3.0,1,0,3.0,0,0.0,0,4,1,0,0,0,0,1,0,1,1413.8700000000001,33.057851239669425
23.0,1.65,60.0,1,0,2.0,3.0,1,0,2.0,0,0.0,1,1,0,1,0,0,0,1,0,0,739.85,22.03856749311295
19.0,1.63,58.0,0,0,3.0,3.0,1,0,2.0,1,0.0,0,1,1,0,0,0,0,1,0,0,1125.434,21.829952199932254
30.0,1.8,91.0,1,1,2.0,3.0,2,0,2.0,0,0.0,1,3,0,1,0,0,0,1,0,0,1117.7,28.086419753086417
23.0,1.67,85.5,1,1,2.0,3.0,3,0,2.0,0,0.0,0,4,0,1,0,0,0,1,0,1,1089.2999999999997,30.657248377496504
19.0,1.6,45.0,0,0,3.0,3.0,0,0,3.0,1,2.0,0,0,1,0,0,0,0,0,1,0,1000.5800000000002,17.578124999999996
25.0,1.7,83.0,1,1,2.0,3.0,2,0,2.0,0,0.0,1,3,0,1,0,0,0,1,0,1,1041.6,28.719723183391007
23.0,1.65,58.5,1,0,2.0,3.0,1,0,2.0,0,0.0,0,1,0,1,0,0,0,1,0,0,719.3,21.487603305785125
21.0,1.85,83.0,1,1,2.0,1.0,2,0,3.0,0,1.0,0,1,0,1,0,0,0,1,0,0,1069.55,24.251278305332356
19.0,1.82,87.0,1,1,2.0,3.0,1,0,2.0,0,0.0,0,2,0,1,0,0,0,1,0,0,1137.7999999999997,26.26494384736143
22.0,1.65,65.0,1,1,2.0,3.0,2,0,2.0,1,1.0,0,1,1,0,1,0,0,0,0,0,1178.57,23.875114784205696
29.0,1.7,78.0,1,1,3.0,3.0,1,0,1.0,0,2.0,2,3,1,0,1,0,0,0,0,1,1270.56,26.989619377162633
25.0,1.63,93.0,0,0,3.0,4.0,3,0,1.0,0,2.0,0,5,1,0,0,0,0,1,0,0,1433.234,35.00319921713275
20.0,1.61,64.0,1,0,3.0,3.0,3,0,2.0,1,0.0,2,1,1,0,0,0,0,1,0,1,1178.298,24.690405462752206
55.0,1.78,84.0,1,0,3.0,4.0,2,0,3.0,1,3.0,2,2,0,1,0,0,0,0,1,0,851.7,26.511804065143288
20.0,1.6,57.0,0,0,3.0,3.0,3,0,2.0,0,1.0,0,1,1,0,0,0,0,0,1,0,1111.08,22.265624999999996
24.0,1.6,48.0,0,1,3.0,3.0,1,0,2.0,0,2.0,0,1,1,0,0,0,0,1,0,0,1005.8800000000001,18.749999999999996
26.0,1.7,70.0,1,0,3.0,1.0,2,0,2.0,0,2.0,2,1,0,1,0,0,0,1,0,0,856.7,24.221453287197235
23.0,1.66,60.0,1,0,2.0,3.0,1,0,2.0,0,3.0,1,1,1,0,0,0,0,1,0,0,1125.8880000000001,21.773842357381334
21.0,1.52,42.0,0,0,3.0,1.0,2,0,1.0,0,0.0,1,0,1,0,0,0,0,1,0,0,962.2360000000001,18.178670360110804
21.0,1.52,42.0,0,0,3.0,1.0,2,0,1.0,0,0.0,1,0,1,0,0,0,0,1,0,0,962.2360000000001,18.178670360110804
23.0,1.72,70.0,0,0,2.0,3.0,1,0,2.0,0,3.0,2,1,0,1,0,0,0,1,0,1,877.1999999999999,23.661438615467823
21.0,1.69,63.0,0,1,3.0,1.0,1,0,1.0,0,0.0,1,1,1,0,0,0,0,1,0,0,1164.1419999999998,22.058051188683873
22.0,1.7,66.4,1,0,2.0,3.0,2,0,2.0,0,0.0,0,1,0,1,0,0,0,1,0,0,834.58,22.975778546712807
21.0,1.55,57.0,0,1,2.0,4.0,2,0,2.0,1,2.0,1,1,1,0,1,0,0,0,0,0,1106.2899999999997,23.725286160249738
22.0,1.65,58.0,1,1,3.0,4.0,2,0,2.0,0,1.0,1,1,1,0,0,0,0,1,0,0,1111.37,21.30394857667585
38.0,1.56,80.0,1,1,2.0,3.0,1,0,2.0,0,0.0,1,4,1,0,1,0,0,0,0,0,1247.208,32.87310979618672
25.0,1.57,55.0,0,1,2.0,1.0,1,0,2.0,0,2.0,1,1,1,0,0,0,0,1,0,0,1068.326,22.313278429145196
25.0,1.57,55.0,0,1,2.0,1.0,1,0,2.0,0,2.0,1,1,1,0,0,0,0,1,0,0,1068.326,22.313278429145196
22.0,1.88,90.0,1,1,2.0,3.0,3,0,1.0,0,0.0,1,2,0,1,1,0,0,0,0,1,1158.8000000000002,25.46401086464464
22.0,1.75,95.0,1,0,2.0,3.0,1,0,3.0,0,3.0,0,4,0,1,0,0,0,0,1,2,1226.65,31.020408163265305
21.0,1.65,88.0,1,1,3.0,1.0,1,0,3.0,0,2.0,0,4,1,0,0,0,0,1,0,1,1404.07,32.323232323232325
21.0,1.75,75.0,1,1,3.0,3.0,1,0,2.0,0,0.0,1,1,0,1,0,0,0,1,0,1,959.45,24.489795918367346
22.0,1.58,58.0,1,1,2.0,1.0,1,0,1.0,0,0.0,0,1,1,0,0,0,0,1,0,0,1111.244,23.233456176894723
18.0,1.56,51.0,1,1,2.0,4.0,2,0,2.0,0,1.0,1,1,1,0,0,0,0,1,0,0,1062.808,20.956607495069033
22.0,1.5,49.0,1,0,2.0,1.0,1,0,2.0,0,3.0,0,1,1,0,0,0,0,0,1,0,1024.7,21.77777777777778
19.0,1.61,62.0,1,1,3.0,1.0,2,0,2.0,0,1.0,2,1,1,0,0,0,0,1,0,0,1163.7979999999998,23.9188302920412
17.0,1.75,57.0,1,1,3.0,3.0,2,0,2.0,0,0.0,0,1,1,0,0,0,0,1,0,1,1125.4499999999998,18.612244897959183
15.0,1.65,86.0,1,1,3.0,3.0,1,0,1.0,0,3.0,0,4,1,0,0,0,0,0,1,2,1413.07,31.58861340679523
17.0,1.7,85.0,1,0,2.0,3.0,2,0,2.0,0,1.0,0,3,1,0,0,0,0,1,0,1,1394.1599999999999,29.411764705882355
23.0,1.62,53.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1,1,0,1,0,0,0,1,0,1,643.8,20.195092211553114
19.0,1.63,76.0,1,0,3.0,3.0,2,1,3.0,0,2.0,1,3,1,0,1,0,0,0,0,1,1298.234,28.604764951635367
23.0,1.67,75.0,1,1,2.0,3.0,2,1,2.0,0,0.0,0,2,1,0,0,0,0,0,1,2,1269.9060000000002,26.89232313815483
23.0,1.87,95.0,1,1,1.0,3.0,2,0,2.0,0,0.0,2,3,0,1,0,0,0,1,0,2,1220.4499999999998,27.166919271354622
21.0,1.75,50.0,1,0,3.0,4.0,2,0,1.0,0,1.0,0,0,0,1,0,0,0,0,1,0,616.95,16.3265306122449
24.0,1.66,67.0,1,1,3.0,1.0,1,0,2.0,0,1.0,0,1,0,1,0,0,0,1,0,0,829.0,24.31412396574249
23.0,1.76,90.0,0,1,3.0,3.0,1,0,1.0,0,0.0,0,3,0,1,0,0,0,1,0,0,1151.3999999999999,29.054752066115704
18.0,1.75,80.0,1,1,2.0,3.0,3,0,2.0,0,0.0,2,2,0,1,0,0,0,1,0,0,1048.35,26.122448979591837
19.0,1.67,68.0,0,1,2.0,3.0,1,0,2.0,0,1.0,1,1,0,1,0,0,0,1,0,0,876.75,24.38237297859371
19.0,1.65,61.0,0,1,3.0,1.0,1,0,3.0,1,1.0,1,1,1,0,0,0,0,1,0,0,1154.27,22.4058769513315
20.0,1.72,70.0,1,1,3.0,3.0,2,0,1.0,0,0.0,1,1,0,1,0,0,0,1,0,0,897.5999999999999,23.661438615467823
27.0,1.7,78.0,0,1,3.0,3.0,1,0,3.0,0,1.0,2,3,0,1,0,0,0,1,0,1,959.4999999999999,26.989619377162633
20.0,1.58,53.0,1,1,2.0,4.0,2,0,2.0,0,1.0,0,1,1,0,0,0,0,1,0,1,1072.644,21.230572023714146
23.0,1.62,58.0,0,0,2.0,3.0,1,0,1.0,0,1.0,0,1,0,1,0,0,0,1,0,0,712.3,22.10028959000152
19.0,1.65,56.0,1,1,3.0,3.0,2,1,3.0,1,1.0,2,1,1,0,0,0,0,1,0,2,1106.27,20.569329660238754
61.0,1.65,66.0,0,1,3.0,3.0,3,0,2.0,0,1.0,2,1,1,0,0,0,0,1,0,1,1004.8699999999999,24.242424242424246
30.0,1.77,109.0,1,1,3.0,3.0,1,0,1.0,0,2.0,1,4,0,1,1,0,0,0,0,0,1364.1499999999999,34.79204570844904
24.0,1.7,75.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1,2,0,1,1,0,0,0,0,0,938.8,25.95155709342561
25.0,1.79,72.0,1,1,2.0,3.0,1,0,2.0,0,1.0,1,1,0,1,0,0,0,1,0,1,891.3500000000001,22.47120876377142
44.0,1.6,80.0,1,0,2.0,3.0,1,1,3.0,0,0.0,0,4,0,1,0,0,1,0,0,0,870.8,31.249999999999993
31.0,1.76,75.0,1,0,3.0,3.0,3,0,3.0,1,3.0,0,1,0,1,0,1,0,0,0,0,891.5,24.212293388429753
25.0,1.7,68.0,0,1,2.0,3.0,2,0,2.0,0,0.0,0,1,0,1,0,0,0,1,0,1,836.0999999999999,23.529411764705884
23.0,1.89,65.0,1,1,3.0,3.0,2,0,3.0,0,1.0,1,0,0,1,0,0,0,1,0,1,809.5500000000001,18.19657904313989
25.0,1.87,66.0,0,1,3.0,3.0,3,0,2.0,0,2.0,2,1,0,1,0,0,0,1,0,0,809.55,18.873859704309528
23.0,1.74,93.5,0,1,2.0,3.0,2,1,1.0,0,1.0,2,4,0,1,1,0,0,0,0,1,1199.25,30.88254723213106
34.0,1.68,75.0,0,1,3.0,1.0,1,0,1.0,0,0.0,1,2,1,0,1,0,0,0,0,0,1218.224,26.573129251700685
22.0,1.61,67.0,1,0,2.0,4.0,1,0,3.0,1,2.0,1,2,0,1,0,0,0,1,0,2,842.3499999999999,25.847768218818715
21.0,1.62,70.0,0,1,2.0,1.0,0,0,3.0,0,1.0,1,2,0,1,0,0,0,1,0,0,890.3,26.672763298277697
24.0,1.56,51.0,0,0,3.0,3.0,2,0,2.0,0,2.0,2,1,1,0,0,0,0,1,0,2,1034.608,20.956607495069033
36.0,1.63,80.0,1,0,3.0,3.0,1,0,1.0,0,0.0,1,4,1,0,1,0,0,0,0,0,1256.734,30.11027889645828
27.0,1.6,61.0,0,1,3.0,3.0,3,0,2.0,0,0.0,1,1,1,0,1,0,0,0,0,0,1116.58,23.828124999999996
32.0,1.67,90.0,1,1,3.0,1.0,1,0,2.0,0,2.0,1,4,1,0,1,0,0,0,0,0,1371.606,32.2707877657858
25.0,1.78,78.0,1,1,2.0,1.0,1,0,2.0,0,2.0,1,1,0,1,0,0,0,1,0,1,973.5,24.61810377477591
30.0,1.62,59.0,1,1,3.0,3.0,1,0,2.0,0,2.0,1,1,1,0,1,0,0,0,0,0,1083.316,22.481329065691202
38.0,1.5,60.0,1,1,2.0,1.0,3,1,2.0,0,0.0,1,2,1,0,1,0,0,0,0,0,1055.1000000000001,26.666666666666668
34.0,1.69,84.0,1,0,2.0,3.0,1,0,3.0,0,2.0,0,3,0,1,1,0,0,0,0,0,994.05,29.410734918245165
22.0,1.74,94.0,1,1,2.0,3.0,1,0,2.0,0,0.0,1,4,0,1,0,0,0,1,0,0,1212.9,31.04769454353283
31.0,1.68,63.0,1,1,3.0,1.0,2,0,2.0,0,1.0,1,1,1,0,1,0,0,0,0,1,1117.1239999999998,22.321428571428577
35.0,1.53,45.0,1,0,3.0,3.0,2,0,1.0,0,0.0,0,1,1,0,1,0,0,0,0,1,925.2539999999999,19.223375624759708
21.0,1.67,60.0,1,1,2.0,3.0,2,0,2.0,0,2.0,1,1,0,1,0,0,0,1,0,1,753.5500000000001,21.513858510523864
40.0,1.55,62.0,1,0,3.0,3.0,1,0,3.0,0,0.0,1,2,1,0,1,0,0,0,0,0,1064.9899999999998,25.806451612903224
27.0,1.64,78.0,1,1,2.0,1.0,1,0,2.0,0,0.0,2,3,0,1,1,0,0,0,0,0,959.1999999999999,29.000594883997625
20.0,1.83,72.0,1,0,3.0,3.0,1,1,1.0,0,2.0,1,1,0,1,0,0,0,1,0,1,925.5500000000002,21.49959688255845
55.0,1.65,80.0,0,1,2.0,3.0,1,0,2.0,0,1.0,0,3,0,1,1,0,0,0,0,0,796.25,29.384756657483933
21.0,1.63,60.0,1,1,3.0,3.0,3,1,2.0,0,2.0,1,1,1,0,0,0,0,1,0,0,1135.234,22.582709172343712
25.0,1.89,75.0,0,0,3.0,3.0,2,0,2.0,1,3.0,0,1,0,1,0,0,0,1,0,0,932.95,20.99605274208449
35.0,1.77,85.0,1,0,3.0,3.0,2,0,3.0,0,2.0,1,3,0,1,1,0,0,0,0,1,1001.3499999999999,27.13141179099237
30.0,1.92,130.0,1,0,2.0,3.0,1,1,1.0,0,1.0,1,5,0,1,0,0,0,1,0,0,1652.6,35.26475694444444
29.0,1.74,72.0,1,0,3.0,3.0,3,0,2.0,0,0.0,1,1,1,0,1,0,0,0,0,0,1213.032,23.781212841854934
20.0,1.65,80.0,1,0,2.0,3.0,1,0,2.0,0,1.0,0,3,0,1,0,0,0,0,1,2,1034.25,29.384756657483933
22.0,1.73,79.0,1,1,2.0,1.0,1,0,2.0,0,1.0,1,2,1,0,0,0,0,1,0,0,1313.114,26.395803401383272
45.0,1.63,77.0,1,1,2.0,3.0,2,0,1.0,0,0.0,0,3,1,0,1,0,0,0,0,0,1185.6339999999998,28.981143437841094
22.0,1.72,82.0,0,1,2.0,1.0,1,0,2.0,0,2.0,1,3,0,1,0,0,0,1,0,1,1048.3999999999999,27.717685235262305
18.0,1.6,58.0,1,1,2.0,3.0,2,0,2.0,0,1.0,1,1,0,1,0,0,0,1,0,0,746.1999999999999,22.656249999999996
23.0,1.65,59.0,0,0,3.0,1.0,1,0,2.0,0,1.0,1,1,1,0,0,0,0,1,0,2,1116.2700000000002,21.6712580348944
18.0,1.74,64.0,0,0,3.0,3.0,1,0,2.0,1,0.0,0,1,0,1,0,0,0,1,0,1,829.1,21.13885585942661
21.0,1.62,70.0,0,1,2.0,1.0,0,0,3.0,0,1.0,1,2,0,1,0,0,0,1,0,0,890.3,26.672763298277697
38.0,1.64,59.8,1,1,2.0,3.0,1,0,2.0,0,2.0,0,1,1,0,0,0,0,1,0,0,1053.432,22.233789411064844
18.0,1.57,48.0,1,1,3.0,1.0,3,0,1.0,0,1.0,0,1,1,0,0,0,0,1,0,0,1034.026,19.473406629072173
22.0,1.84,84.0,1,1,3.0,3.0,2,0,2.0,1,3.0,1,1,0,1,0,0,0,1,0,0,1076.4,24.8109640831758
26.0,1.91,84.0,1,1,3.0,3.0,2,1,2.0,0,2.0,2,1,0,1,0,0,0,1,0,2,1049.55,23.025684602944
21.0,1.62,70.0,0,1,2.0,1.0,0,0,3.0,0,1.0,1,2,0,1,0,0,0,1,0,0,890.3,26.672763298277697
18.0,1.58,48.0,0,1,2.0,3.0,1,0,2.0,0,1.0,0,1,1,0,0,0,0,1,0,0,1034.044,19.227687870533565
23.0,1.68,67.0,1,1,2.0,3.0,2,0,1.0,0,0.0,1,1,1,0,0,0,0,1,0,0,1193.1239999999998,23.738662131519277
22.0,1.68,52.0,0,1,3.0,3.0,2,0,2.0,0,0.0,0,0,1,0,0,0,0,1,0,1,1053.8239999999998,18.42403628117914
23.0,1.48,60.0,1,1,2.0,1.0,1,1,1.0,0,0.0,1,3,1,0,0,0,0,1,0,0,1125.564,27.39225712198685
21.0,1.62,70.0,0,1,2.0,1.0,0,0,3.0,0,1.0,1,2,0,1,0,0,0,1,0,0,890.3,26.672763298277697
31.0,1.62,68.0,0,0,3.0,3.0,1,0,2.0,0,1.0,1,2,1,0,1,0,0,0,0,0,1165.0159999999998,25.910684346898332
39.0,1.78,96.0,1,0,2.0,3.0,1,0,3.0,0,1.0,2,4,0,1,1,0,0,0,0,0,1124.8999999999999,30.299204645878046
25.0,1.78,98.0,1,0,2.0,3.0,1,0,3.0,0,3.0,0,4,0,1,0,0,0,1,0,2,1247.5,30.930438076000502
35.0,1.78,105.0,1,1,3.0,1.0,0,0,3.0,0,3.0,2,4,0,1,1,0,0,0,0,1,1275.4,33.13975508142911
